timestamp,temp_Main,temp_banana,ambient_temp,moisture_score,folder_path,notes,temp_fungo,Super_Mix,watered
2026-04-27 19:00,,,23.0,3,,"Grande Fusione: i tre contenitori (Main/Banana/Fungo) sono stati uniti per creare il "SUPER MIX 3". Contemporaneamente ho aggiunto la crusca (Farina di Riso) e ho mescolato accuratamente per attivare energicamente il processo di compostaggio.",,45.7,
2026-04-28 19:00,,,21.0,3,,,,42.5,
2026-04-29 19:00,,,19.0,3,,"Esplosione biologica nel contenitore: comparsa di innumerevoli insetti microscopici (circa 1 mm, collemboli/acari) subito dopo l'apporto di farina di riso integrale; a testimonianza dell'avvio della fase finale di decomposizione macrobiotica.",,40.1,
2026-04-30 18:00,,,18.0,2,,"Nonostante la massiccia presenza di insetti microscopici; l'odore resta gradevole e del tutto simile a quello del sottobosco; a conferma biologica della corretta transizione aerobica e dell'assenza di fenomeni di putrefazione.",,41.5,
2026-05-01 19:00,,,17.0,3,,,,39.1,
2026-05-02 19:00,,,21.5,3,,,,41.5,
2026-05-03 19:00,,,24.0,3,,,,39.5,
2026-05-04 19:00,,,23.0,3,,"Inoculo Bacillus via irrigazione. Regolata l'umidità del letame: consistenza ottimale verificata stringendolo a pugno; ottenendo un composto compatto che mantiene la forma.",,38.4,
2026-05-05 19:00,,,19.0,3,,,,28.1,
2026-05-06 19:00,,,18.0,3,,"Nonostante il calo termico dovuto al maltempo l'aroma è di foresta profonda: segno di ottima maturazione del fertilizzante. Il processo prosegue verso una qualità eccellente per l'orto.",,24.5,
2026-05-07 19:00,,,22.0,3,,,,42.2,
2026-05-08 19:00,,,20.0,3,,,,32.7,
2026-05-09 19:00,,,23.0,3,,,,42.8,
2026-05-10 19:00,,,18.0,3,,,,27.5,
2026-05-11 19:00,,,21.0,3,,"Rivoltato il cumulo di compost sul telo per l'aerazione e Aggiunta la farina di riso integrale (Crusca).",,35.8,
2026-05-12 19:00,,,18.0,3,,,,39.1,
2026-05-13 19:00,,,17.0,3,,,,31.9,
2026-05-14 19:00,,,18.0,3,,,,32.3,
2026-05-15 19:00,,,12.0,2,,,,27.6,
2026-05-16 10:00,,,12.0,2,,,,27.8,
2026-05-17 19:00,,,21.0,3,,"Acqua tiepida.",,37.5,1
2026-05-18 18:00,,,23.0,3,,,,42.3,
2026-05-19 19:00,,,22.0,3,,,,38.5,
2026-05-20 17:30,,,26.0,2,,,,44.5,
2026-05-21 17:30,,,27.0,3,,"Acqua tiepida.",,46.0,1
2026-05-22 17:30,,,27.0,3,,,,46.3,
2026-05-23 17:30,,,28.0,3,,"Rivoltato il cumulo di compost sul telo per l'aerazione.",,46.7,
2026-05-24 17:30,,,30.0,3,,,,51.0,
2026-05-25 17:30,,,32.0,2,,,,51.3,
2026-05-26 17:30,,,32.0,2,,,,52.4,
2026-05-27 17:30,,,33.0,3,,"Rivoltato il cumulo di compost sul telo per l'aerazione e Aggiunta l'acqua tiepida(40 gradi cieca).",,54.6,1
2026-05-28 17:30,,,28.0,3,,,,48.5,
2026-05-29 19:00,,,28.0,3,,,,43.8,
2026-05-30 17:30,,,31.0,3,,,,55.8,
2026-05-31 17:30,,,28.0,3,,,,54.1,
2026-06-01 17:30,,,27.0,3,,,,43.8,
2026-06-02 17:30,,,22.0,3,,,,36.3,
2026-06-03 17:30,,,27.0,3,,,,45.5,
2026-06-04 17:30,,,26.0,3,,,,41.5,
2026-06-05 19:00,,,25.0,2,,"Acqua tiepida.",,36.8,1
2026-06-06 17:30,,,27.0,3,,,,46.5,
2026-06-07 17:30,,,29.0,3,,,,53.9,
2026-06-08 17:30,,,31.0,3,,,,50.1,
2026-06-09 17:30,,,31.0,3,,,,48.0,
2026-06-10 19:00,,,28.0,3,,,,43.0,
2026-06-11 17:30,,,26.0,3,,"Inserito l'apporto idrico attivato con bucce di banana intere in fase di fermentazione naturale nel momento in cui la temperatura interna del contenitore di letame mostrava instabilità e una tendenza al calo e questo ha riattivato istantaneamente l'energia termica del microbioma 42.0".,,42.0,
2026-06-12 17:30,,,28.0,3,,,,45.8,
2026-06-13 17:30,,,32.0,3,,,,52.4,
2026-06-14 17:30,,,31.0,3,,,,46.4,
2026-06-15 17:30,,,31.0,3,,,,45.6,
2026-06-16 17:30,,,31.0,3,,,,47.5,
2026-06-17 17:30,,,32.0,3,,,,52.7,
2026-06-18 17:30,,,34.0,2,,,,52.6,
2026-06-19 17:30,,,34.0,2,,"La superficie superiore era asciutta quindi Rivoltato il cumulo di compost sul telo per l'aerazione.",,51.2,
2026-06-20 17:30,,,34.0,2,,,,48.7,
2026-06-21 17:30,,,35.0,2,,,,49.2,
2026-06-22 17:30,,,36.0,2,,,,49.5,
2026-06-23 17:30,,,35.0,2,,,,49.3,
2026-06-24 17:30,,,34.0,2,,,,49.6,
2026-06-25 17:30,,,34.0,2,,,,47.2,
2026-06-26 17:30,,,36.0,2,,,,48.9,
2026-06-27 17:30,,,36.0,2,,,,50.1,
2026-06-28 17:30,,,37.0,2,,,,49.2,
2026-06-29 16:40,,,36.0,3,,"Osservando perfettamente il calo termico dai dati; ho introdotto l'acqua di fermentazione naturale con bucce di banana per riattivare la curva termica ed eseguire un secondo boost.",,51.4,1
2026-06-30 17:30,,,36.0,3,,,,47.5,
2026-07-01 17:30,,,25.0,3,,,,45.0,
2026-07-02 17:30,,,29.0,3,,,,46.1,
2026-07-03 17:30,,,31.0,3,,,,44.8,
2026-07-04 17:30,,,32.0,3,,,,46.7,
2026-07-05 17:30,,,33.0,3,,,,42.5,
2026-07-06 17:30,,,33.0,3,,,,42.3,
2026-07-07 17:30,,,34.0,3,,"Rivoltato il cumulo di compost.",,42.0,
2026-07-08 17:30,,,35.0,3,,,,42.8,
2026-07-09 17:30,,,34.0,3,,,,41.5,
2026-07-10 17:30,,,33.0,3,,,,41.3,
2026-07-11 17:30,,,34.0,2,,,,41.4,
2026-07-12 17:30,,,32.0,2,,,,41.5,
2026-07-13 17:30,,,34.0,2,,,,41.7,
2026-07-14 17:30,,,35.0,2,,,,41.8,
2026-07-15 17:30,,,34.0,2,,,,41.6,
2026-07-16 17:30,,,32.0,2,,,,40.2,
2026-07-17 17:30,,,32.0,2,,,,40.8,
2026-07-18 17:30,,,32.0,2,,"Rivoltato il cumulo di compost.",,40.3,
2026-07-19 17:30,,,32.0,2,,,,40.1,
2026-07-20 17:30,,,29.0,2,,,,40.6,
2026-07-21 17:30,,,27.0,2,,,,39.9,
2026-07-22 17:30,,,28.0,3,,"Osservando il calo termico; ho applicato un re-boost del microbioma inserendo l'acqua attivata con zucchero grezzo Muscovado e Bacillus subtilis per prevenire la disidratazione e stimolare con successo l'aumento finale della temperatura verso la maturazione.",,44.2,1
2026-07-23 17:30,,,29.0,3,,,,45.6,
2026-07-24 17:30,,,28.0,3,,,,46.1,
2026-07-25 17:30,,,31.0,3,,,,45.3,
2026-07-26 17:30,,,28.0,3,,,,42.1,
2026-07-27 17:30,,,33.0,3,,,,44.4,
2026-07-28 17:30,,,32.0,2,,,,45.3,
2026-07-29 17:30,,,35.0,2,,,,49.0,
2026-07-30 17:30,,,37.0,2,,,,50.0,
2026-07-31 17:30,,,37.0,2,,,,51.4,
2026-08-01 17:30,,,37.0,3,,,,51.2,1
2026-08-02 17:30,,,37.0,3,,,,53.5,
2026-08-03 17:30,,,37.0,3,,,,54.5,
2026-08-04 17:30,,,38.0,3,,"Spostato all'ombra per abbassare la temperatura e proteggere i microrganismi dal caldo eccessivo",,38.9,
2026-08-05 17:30,,,37.0,3,,,,37.5,
2026-08-06 17:30,,,38.0,2,,,,47.5,
2026-08-07 17:30,,,36.0,2,,,,48.3,
2026-08-08 17:30,,,33.0,2,,,,46.5,1
2026-08-09 17:30,,,35.0,3,,,,50.8,
2026-08-10 17:30,,,36.0,3,,,,52.0,
2026-08-11 17:30,,,35.0,3,,,,51.0,
2026-08-12 17:30,,,35.0,3,,,,50.0,
2026-08-13 17:30,,,35.0,2,,,,49.8,
2026-08-14 17:30,,,34.0,3,,,,48.0,1
2026-08-15 17:30,,,34.0,3,,"Il letame ha iniziato a sviluppare spontaneamente una struttura granulare (simile a piccoli pellet naturali), confermando visivamente l'ottimale processo di compostaggio.",,47.5,
2026-08-16 17:30,,,32.0,3,,,,47.2,
2026-08-17 17:30,,,31.0,3,,,,46.5,
2026-08-18 17:30,,,34.0,3,,,,47.2,
2026-08-19 17:30,,,35.0,3,,,,47.7,
2026-08-20 17:30,,,33.0,3,,"Condizioni stabili cielo nuvoloso, nessun accumulo di pioggia.",,39.3,
2026-08-21 17:30,,,26.0,4,,"Forte pioggia notturna penetrata nel contenitore (senza tettoia): calo termico e fermentazione rallentata.",,30.5,1
2026-08-22 17:30,,,29.0,4,,"Ritorno del sole: ripresa biologica e innalzamento della temperatura interna.",,40.8,
2026-08-23 17:30,,,29.0,3,,"Stendere il letame sul telo blu e mescolarlo per incorporare ossigeno.",,38.5,
2026-08-24 17:30,,,31.0,2,,,,39.2,
2026-08-25 17:30,,,30.0,2,,,,41.3,1
2026-08-26 17:30,,,32.0,3,,,,44.9,
2026-08-27 17:30,,,35.0,3,,,,43.5,
2026-08-28 17:30,,,36.0,3,,,,43.6,
2026-08-29 17:30,,,34.0,3,,,,45.2,
2026-08-30 17:30,,,32.0,3,,"Considerando che oggi farà di nuovo molto caldo questo pomeriggio sposterò il contenitore sotto la tettoia.",,42.6,
2026-08-31 17:30,,,34.0,3,,"Raggiunto il traguardo della completa maturazione biologica del compost. Questo SUPER MIX 3 è ora perfettamente pronto per essere integrato e restituito al suolo dell'orto in autunno.",,42.9,

