Data,Temperatura,Umidita,Meteo,Formiche,Boccioli,ExG_Fogliame,ExG_Bocciolo,Afidi,Gravita_Afidi,Olio_di_Neem,Concimazione,Irrigazione,Note
2026-05-02,16,51,Sunny,0,84,0.655,0.621,0,0,0,0,Yes,
2026-05-03,19,53,Sunny,0,80,0.682,0.605,0,0,0,0,0,Il valore ExG del bocciolo è diminuito perché i petali colorati (rosa/rosso) stanno emergendo.riducendo la proporzione di verde nell'immagine. Calo ExG dovuto alla colorazione dei petali: inizio della fioritura.
2026-05-04,19,48,Cloudy,0,72,0.578,0.607,0,0,0,0,0,
2026-05-05,15,92,Rainy_Sunny,0,68,0.719,0.641,0,0,0,0,0,
2026-05-06,15,95,Heavy_Rainy,0,68,0.626,0.598,0,0,0,0,0,Calo dell'ExG dovuto alla pioggia e alla scarsa luminosità; i dati riflettono l'ambiente. mentre i petali hanno iniziato a cadere dopo la piena fioritura.
2026-05-07,17,70,Sunny,0,53,0.726,0.647,0,0,0,0,0,
2026-05-08,16,82,Cloudy,0,53,0.704,0.661,0,0,0,0,0,
2026-05-09,18,84,Sunny,0,53,0.705,0.610,0,0,0,0,0,
2026-05-10,17,88,Rainy,0,45,0.658,0.698,0,0,0,0,0,
2026-05-11,18,83,Rainy,0,35,0.734,0.825,0,0,0,0,0,
2026-05-12,20,61,Cloudy,0,25,0.721,0.737,0,0,0,0,0,
2026-05-13,14,77,Cloudy,0,19,0.755,0.797,0,0,0,0,0,
2026-05-14,19,57,Sunny_Cloudy,0,15,0.765,0.813,0,0,0,0,0
2026-05-15,12,90,Rainy,0,10,0.899,1.014,0,0,0,0,0,
2026-05-16,11,90,Cloudy,0,7,0.913,0.962,0,0,0,0,0,
2026-05-17,15,60,Sunny,0,4,0.877,0.812,0,0,0,0,0,
2026-05-18,17,51,Sunny,0,4,0.871,0.822,0,0,0,0,Yes,
2026-05-19,17,65,Sunny,0,3,0.816,0.816,0,0,0,0,0,
2026-05-20,18,64,Sunny,0,2,0.835,0.844,0,0,0,0,0,
2026-05-21,20,68,Sunny,0,2,0.855,0.859,0,0,0,0,0,
2026-05-22,22,56,Sunny,0,1,0.828,0.830,0,0,0,0,Yes,
2026-05-23,22,52,Sunny,0,1,0.812,0.846,0,0,0,0,0,
2026-05-24,23,55,Sunny,0,1,0.809,0.840,0,0,0,0,0,
2026-05-25,25,58,Sunny,0,1,0.762,0.804,0,0,0,0,Yes,
2026-05-26,26,57,Sunny,0,1,0.750,0.793,0,0,0,yes,0,Apporto strategico di estratto di banana fermentato: una carica di potassio biologico che ha innescato un risveglio metabolico immediato; causa diretta dello straordinario sviluppo di nuove foglie.
2026-05-27,27,57,Sunny,0,1,0.776,0.812,0,0,0,0,Yes,
2026-05-28,25,68,Sunny,0,1,0.734,0.786,0,0,0,0,0,"Nuove foglie rilevate. Inizio della seconda vegetazione"
2026-05-29,22,79,Sunny,0,0,0.774,0.815,0,0,0,0,0,
2026-05-30,24,68,Sunny,0,0,0.718,0.804,0,0,0,0,Yes,
2026-05-31,23,65,Sunny,0,0,0.721,0.775,0,0,0,0,0,
2026-06-01,22,83,Cloudy,0,1,0.730,0.816,0,0,0,0,0,Evidenza di api tagliatrici di foglie (Megachile) su alcune foglie. Presenza di piccoli mantidi e micro-grilli (insetti utili/neutrali).Foto scattata il 07/06.
2026-06-02,23,81,Cloudy_Rainy,0,1,0.747,0.800,0,0,0,0,0,
2026-06-03,20,73,Cloudy,0,1,0.727,0.782,0,0,0,0,0,
2026-06-04,21,66,Cloudy,0,1,0.773,0.798,0,0,0,0,Yes,
2026-06-05,22,78,Sunny,0,2,0.763,0.795,0,0,0,0,0,
2026-06-06,20,61,Sunny,0,2,0.729,0.756,0,0,0,0,yes,
2026-06-07,24,61,Sunny,0,2,0.726,0.749,0,0,0,0,0,
2026-06-08,24,66,Sunny,0,2,0.710,0.724,2,Low,0,0,yes,
2026-06-09,26,54,Sunny,0,2,0.708,0.726,3,Low,0,yes,yes,Applicazione preventiva di estratto di banana fermentato: un vero e proprio "brodo nutritivo" ricco di potassio e co-enzimi; attivazione biologica del suolo mirata a preparare l'habitat ideale per il successivo inoculo batterico.
2026-06-10,25,60,Cloudy,3,2,0.780,0.812,5,Low,0,0,Yes,Irrorazione fogliare di Bacillus eseguita su forte pressione di afidi rilevati intervento terapeutico mirato a bloccare l'infestazione biologica con successo al livello minimo.
2026-06-11,20,54,Cloudy,2,2,0.697,0.708,4,Low,0,0,Yes,Inoculo mirato di Bacillus nel suolo combinato con l'apporto di Lupini i microrganismi benefici hanno assimilato istantaneamente l'azoto organico e i residui di banana del 9 giugno; exploit metabolico che accelera l'umificazione.
2026-06-12,22,55,Sunny,2,2,0.694,0.703,3,Low,0,0,Yes,"Una foglia di Candy è seccata caduta (foglia marrone rimossa naturalmente)"
2026-06-13,24,56,Sunny,0,2,0.686,0.668,3,Low,0,0,0,
2026-06-14,24,58,Sunny,0,2,0.659,0.665,0,0,0,0,0,
2026-06-15,24,55,Sunny,0,1,0.710,0.682,0,0,0,0,0,
2026-06-16,23,78,Sunny,0,1,0.733,0.691,0,0,0,0,Yes,
2026-06-17,25,62,Sunny,0,1,0.711,0.659,0,0,0,0,Yes,
2026-06-18,27,60,Sunny,0,1,0.713,0.668,0,0,0,0,Yes,
2026-06-19,28,57,Cloudy,0,1,0.728,0.663,0,0,0,0,Yes,
2026-06-20,28,62,Sunny,0,1,0.702,0.624,0,0,0,0,Yes,
2026-06-21,28,64,Sunny,0,1,0.712,0.648,0,0,0,0,Yes,
2026-06-22,28,67,Sunny,0,1,0.726,0.645,0,0,0,0,Yes,
2026-06-23,30,52,Sunny,0,1,0.690,0.634,0,0,0,0,Yes,
2026-06-24,26,67,Sunny,0,0,0.676,0.642,0,0,0,0,Yes,
2026-06-25,29,62,Sunny,0,0,0.673,0.641,0,0,0,0,Yes,
2026-06-26,30,54,Sunny,0,0,0.644,0.629,0,0,0,0,Yes,
2026-06-27,30,50,Sunny,0,0,0.645,0.603,0,0,0,0,Yes,
2026-06-28,30,53,Sunny,0,0,0.668,0.581,0,0,0,0,Yes,
2026-06-29,31,51,Sunny,0,0,0.633,0.589,0,0,0,0,Yes,
2026-06-30,30,50,Sunny,0,0,0.678,0.612,0,0,0,0,Yes,
2026-07-01,29,57,Sunny,0,2,0.718,0.653,0,0,0,0,0,
2026-07-02,20,90,Sunny,0,2,0.727,0.654,0,0,0,0,0,
2026-07-03,26,65,Sunny,0,2,0.728,0.655,0,0,0,0,0,
2026-07-04,27,60,Sunny,0,2,0.773,0.679,0,0,0,0,Yes,
2026-07-05,26,64,Sunny,0,2,0.789,0.691,0,0,0,0,Yes,
2026-07-06,25,71,Sunny,0,3,0.770,0.711,0,0,0,0,Yes,"A partire dal 6-8 luglio: sono cresciute nuove foglie verdi sulle rose."
2026-07-07,27,61,Sunny,0,3,0.775,0.728,0,0,0,0,Yes,
2026-07-08,28,49,Sunny,0,3,0.780,0.721,0,0,0,0,Yes,
2026-07-09,27,72,Sunny,0,3,0.790,0.748,0,0,0,0,Yes,
2026-07-10,27,62,Sunny,0,3,0.703,0.652,0,0,0,0,Yes,
2026-07-11,28,65,Sunny,0,2,0.732,0.654,0,0,0,0,Yes,
2026-07-12,26,69,Sunny,0,1,0.689,0.673,0,0,0,0,Yes,
2026-07-13,26,72,Sunny,0,1,0.719,0.664,0,0,0,0,Yes,
2026-07-14,29,59,Sunny,0,1,0.704,0.676,0,0,0,0,Yes,
2026-07-15,27,77,Sunny,0,1,0.746,0.678,0,0,0,0,Yes,
2026-07-16,26,76,Sunny,0,2,0.734,0.686,0,0,0,0,0,
2026-07-17,25,87,Sunny,0,2,0.724,0.695,0,0,0,0,0,
2026-07-18,28,71,Sunny,0,2,0.712,0.681,0,0,0,0,Yes,
2026-07-19,25,74,Sunny,0,2,0.711,0.693,0,0,0,0,0,
2026-07-20,20,85,Sunny,0,3,0.719,0.708,0,0,0,yes,yes,Applicazione di estratto di banana fermentato: nutrimento radicale ad alto contenuto di potassio per preparare la pianta al successivo inoculo di Bacillus.
2026-07-21,24,81,Cloudy,0,6,0.693,0.667,0,0,0,0,Yes,
2026-07-22,23,80,Sunny,0,11,0.739,0.681,0,0,0,,yes,Inoculo fogliare di Bacillus per protezione preventiva: difesa costante della chioma in vista della successiva fioritura; tolleranza zero verso i parassiti.
2026-07-23,23,62,Sunny,0,12,0.710,0.677,0,0,0,0,yes,
2026-07-24,24,69,Sunny,0,13,0.697,0.656,0,0,0,0,yes,
2026-07-25,22,57,Sunny,0,14,0.686,0.654,0,0,0,0,yes
2026-07-26,20,72,Cloudy,0,14,0.696,0.692,0,0,0,0,yes,
2026-07-27,25,68,Sunny,0,15,0.681,0.722,0,0,0,0,yes,
2026-07-28,26,75,Sunny,0,18,0.680,0.670,0,0,0,0,yes,
2026-07-29,27,65,Sunny,0,18,0.689,0.670,0,0,0,0,yes,
2026-07-30,28,64,Sunny,0,23,0.638,0.647,0,0,0,0,yes,
2026-07-31,30,61,Sunny,0,23,0.614,0.606,0,0,0,0,yes,
2026-08-01,29,60,Sunny,0,23,0.617,0.610,0,0,0,0,yes,
2026-08-02,29,62,Sunny,0,24,0.604,0.591,0,0,0,0,yes,
2026-08-03,29,64,Sunny,0,25,0.605,0.590,0,0,0,0,yes,
2026-08-04,29,57,Sunny,0,25,0.593,0.477,0,0,0,0,yes,
2026-08-05,29,51,Sunny,0,23,0.576,0.467,0,0,0,0,yes,
2026-08-06,31,43,Sunny,0,23,0.579,0.501,0,0,0,0,yes,
2026-08-07,30,58,Sunny,0,22,0.579,0.476,0,0,0,0,yes,
2026-08-08,28,69,Sunny,0,20,0.589,0.459,0,0,0,0,yes,
2026-08-09,28,65,Sunny,0,19,0.572,0.445,0,0,0,0,yes,
2026-08-10,28,62,Sunny,0,19,0.548,0.454,0,0,0,0,yes,
2026-08-11,29,61,Sunny,0,19,0.562,0.461,0,0,0,0,yes,
2026-08-12,29,62,Sunny,0,15,,,0,0,0,0,0,
2026-08-13,28,65,Sunny,0,10,0.552,0.456,0,0,0,0,yes,
2026-08-14,27,60,Sunny,0,5,0.545,0.419,0,0,0,0,yes,
2026-08-15,25,56,Sunny,0,2,0.535,0.501,0,0,0,0,yes,
2026-08-16,25,60,Sunny,0,0,,,0,0,0,0,0,
2026-08-17,25,67,Cloudy,0,0,0.537,0.499,0,0,0,0,0,
2026-08-18,26,71,Sunny,0,0,0.541,0.500,0,0,0,0,yes,
2026-08-19,27,60,Sunny,0,0,0.520,0.491,0,0,0,0,yes,
2026-08-20,30,58,Clody,0,0,0.551,0.519,0,0,0,0,0,
2026-08-21,21,91,Rainy,0,0,0.569,0.529,0,0,0,0,0,
2026-08-22,23,86,Sunny,0,0,0.576,0.552,0,0,0,0,0,
2026-08-23,23,73,Sunny,0,0,0.587,0.560,0,0,0,0,0,
2026-08-24,24,73,Sunny,0,0,0.574,0.552,0,0,0,0,yes,
2026-08-25,23,83,Cloudy,0,0,0.599,0.570,0,0,0,0,0,
2026-08-26,25,73,Sunny,0,0,0.591,0.571,0,0,0,0,0,
2026-08-27,25,61,Sunny,0,0,0.595,0.571,0,0,0,0,yes,
2026-08-28,26,91,Sunny,0,0,0.605,0.547,0,0,0,0,0,
2026-08-29,27,56,Sunny,0,0,0.603,0.544,0,0,0,0,0,
2026-08-30,24,51,Sunny,0,0,0.602,0.5420,0,0,0,0,0,L'intero apparato fogliare ha subito una rigenerazione totale: le vecchie foglie sono state sostituite da un nuovo fogliame verde brillante; un processo biologico straordinario; paragonabile a una vera e propria ecdisi vegetale (mutazione della pelle) che testimonia l'avvenuto ripristino della salute del suolo.
2026-08-31,26,58,Sunny,0,0,0.600,0.539,0,0,0,0,Yes,
