Date,Temperature,Humidity,Caterpillars,Mosca_Minatrice,Note
2026-05-11,23,53,0,0,Afternoon
2026-05-12,20,61,0,0,"Morning:Attacco parassitario: circa metà delle piantine di zucchine è stata danneggiata/mangiata da insetti.Probabilmente attratti dalla fioritura residua e dallo squilibrio nella decomposizione del sovescio. (Pomodori intatti)"
2026-05-12,24,25,0,0,Afternoon
2026-05-13,14,77,0,0,Morning
2026-05-13,18,57,0,0,Afternoon
2026-05-14,19,57,0,0,Morning
2026-05-14,20,46,0,0,Afternoon
2026-05-15,12,90,0,0,Morning
2026-05-15,13,93,0,0,Afternoon
2026-05-16,11,90,0,0,Morning
2026-05-16,16,60,0,0,Afternoon
2026-05-17,15,60,0,0,Morning
2026-05-17,22,39,0,0,Afternoon
2026-05-18,17,51,0,0,Morning
2026-05-18,23,38,0,0,Afternoon
2026-05-19,17,65,0,0,Morning
2026-05-19,22,48,0,0,Afternoon
2026-05-20,18,64,0,0,Morning
2026-05-20,25,41,0,0,Afternoon
2026-05-21,20,68,0,0,Morning
2026-05-21,27,44,0,0,Afternoon
2026-05-22,22,56,0,0,Morning
2026-05-22,27,35,0,0,Afternoon
2026-05-23,22,52,0,0,Morning
2026-05-23,28,43,0,0,Afternoon
2026-05-24,23,55,0,0,Morning
2026-05-24,29,40,0,0,Afternoon
2026-05-25,25,58,0,0,Morning
2026-05-25,32,37,0,0,Afternoon
2026-05-26,26,57,0,0,Morning
2026-05-26,33,36,0,0,Afternoon
2026-05-27,28,57,0,0,Morning
2026-05-27,34,34,0,0,Afternoon
2026-05-28,25,68,0,0,Morning
2026-05-28,31,50,0,0,Afternoon
2026-05-29,22,73,0,0,Morning
2026-05-29,28,49,0,0,Afternoon
2026-05-30,24,68,0,0,Morning
2026-05-30,30,44,0,0,Afternoon
2026-05-31,23,65,0,0,Morning
2026-05-31,29,42,0,0,Afternoon
2026-06-01,22,83,0,0,Morning
2026-06-01,28,60,0,0,Afternoon
2026-06-02,23,81,0,0,Morning
2026-06-02,29,54,0,0,Afternoon
2026-06-03,20,80,0,0,Morning
2026-06-03,26,48,0,0,Afternoon
2026-06-04,21,73,0,0,"Morning:Secondo trapianto di piantine di zucchine come rivincita."
2026-06-04,27,58,0,0,Afternoon
2026-06-05,22,66,0,0,Morning
2026-06-05,26,54,0,0,Afternoon
2026-06-06,20,78,0,0,Morning
2026-06-06,27,45,0,0,Afternoon
2026-06-07,24,61,0,0,"Morning"
2026-06-07,29,43,0,0,"Afternoon"
2026-06-08,24,61,0,1,"Morning:Orto biologico: accetto che la mosca minatrice si nutra delle foglie come parte dell'ecosistema naturale.Continuo a monitorare senza chimica."
2026-06-08,29,43,0,1,Afternoon
2026-06-09,26,54,0,1,"Morning"
2026-06-09,32,40,0,1,"Afternoon.Applicazione di acqua fermentata di banana il giorno dopo il trattamento con Bacillus. Obiettivo: nutrire i microrganismi e potenziare la rigenerazione del suolo."
2026-06-10,25,60,0,0,"Morning"
2026-06-10,31,38,0,0,"Afternoon"
2026-06-11,20,54,0,0,"Morning."
2026-06-11,26,31,0,0,"Afternoon:Applicazione di acqua con Bacillus su campo di zucchine e posa di pacciamatura. Obiettivo: rigenerazione del suolo riduzione dei trattamenti chimici e supporto alla biodiversità sotterranea."
2026-06-12,22,55,0,0,"Morning:Applicazione di acqua fermentata di banana il giorno dopo il trattamento con Bacillus. Obiettivo: nutrire i microrganismi e potenziare la rigenerazione del suolo."
2026-06-12,28,35,0,0,Afternoon
2026-06-13,24,56,0,0,"Morning"
2026-06-13,32,32,0,0,"Afternoon"
2026-06-14,24,58,0,0,"Morning"
2026-06-14,32,33,0,0,"Afternoon"
2026-06-15,24,55,0,0,"Morning"
2026-06-15,31,33,0,0,"Afternoon"
2026-06-16,23,78,0,0,"Morning"
2026-06-16,31,43,0,0,"Afternoon"
2026-06-17,25,62,0,0,"Morning"
2026-06-17,35,40,0,0,"Afternoon"
2026-06-18,27,60,0,0,"Morning"
2026-06-18,35,37,0,0,"Afternoon"
2026-06-19,28,57,0,0,"Morning"
2026-06-19,35,38,0,0,"Afternoon"
2026-06-20,28,62,0,0,"Morning"
2026-06-20,36,36,0,0,"Afternoon"
2026-06-21,28,64,0,0,"Morning"
2026-06-21,35,41,0,0,"Afternoon"
2026-06-22,28,67,0,0,"Morning"
2026-06-22,35,36,0,0,"Afternoon"
2026-06-23,30,52,0,0,"Morning"
2026-06-23,36,35,0,0,"Afternoon"
2026-06-24,30,60,0,0,"Morning"
2026-06-24,35,43,0,0,"Afternoon"
2026-06-25,29,62,0,0,"Morning:Primo raccolto di zucchine."
2026-06-25,34,41,0,0,"Afternoon"
2026-06-26,30,54,0,0,"Morning"
2026-06-26,36,34,0,0,"Afternoon"
2026-06-27,30,50,0,0,"Morning"
2026-06-27,37,35,0,0,"Afternoon"
2026-06-28,30,53,0,0,"Morning"
2026-06-28,37,35,0,0,"Afternoon"
2026-06-29,31,51,0,0,"Morning"
2026-06-29,37,37,0,0,"Afternoon"
2026-06-30,30,50,0,0,"Morning"
2026-06-30,29,40,0,0,"Afternoon"
2026-07-01,29,57,5,0,"Morning:Rilevate 5 cimici.Cimici delle crucifere (Eurydema)"
2026-07-01,29,63,0,0,"Afternoon:Dopo la rimozione manuale zero."
2026-07-02,20,90,5,0,"Morning:Rilevate 5 cimici.Cimici delle crucifere"
2026-07-02,29,56,0,0,"Afternoon:Dopo la rimozione manuale zero."
2026-07-03,26,65,4,0,"Morning:Rilevate 4 cimici."
2026-07-03,31,40,0,0,"Afternoon:Dopo la rimozione manuale zero."
2026-07-04,27,60,7,0,"Morning:Rilevate 7 Cimici."
2026-07-04,32,41,0,0,Afternoon.
2026-07-05,26,64,15,0,"Morning:Rilevate 15 Cimici."
2026-07-05,34,37,0,0,Afternoon.
2026-07-06,25,71,10,0,"Morning:Rilevate 10 Cimici."
2026-07-06,32,47,0,0,"Afternoon:Afternoon.Applicazione di richiamo con Bacillus per sostenere la rete microbica. Intervento fogliare mirato per bloccare un'infestazione di Cimici durata 5 giorni consecutivi contenendo il danno parassitario."
2026-07-07,27,61,0,0,"Morning:Evidenza empirica dell'efficacia biologica: azzeramento totale delle Cimici (pressione parassitaria pari a zero) a sole 24 ore dall'inoculo fogliare di Bacillus. Risposta immunitaria ottimale."
2026-07-07,34,32,0,0,"Afternoon:Applicazione di acqua fermentata di banana il giorno dopo il secondo trattamento con Bacillus. Obiettivo: nutrire i microrganismi e consolidare la rigenerazione del suolo."
2026-07-08,28,49,0,0,"Morning:Applicazione di pacciamatura in paglia sul campo di zucchine per proteggere il suolo mantenere l'umidità e offrire un rifugio sicuro ai microrganismi."
2026-07-08,35,28,0,0,Afternoon.
2026-07-09,27,72,0,0,Morning.
2026-07-09,34,37,0,0,Afternoon.
2026-07-10,27,62,0,0,Morning.
2026-07-10,34,39,0,0,Afternoon.
2026-07-11,28,65,0,0,Morning.
2026-07-11,35,35,0,0,Afternoon.
2026-07-12,26,69,0,0,Morning.
2026-07-12,32,51,0,0,Afternoon.
2026-07-13,26,72,0,0,Morning.
2026-07-13,34,44,0,0,Afternoon.
2026-07-14,29,59,0,0,Morning.
2026-07-14,35,41,0,0,Afternoon.
2026-07-15,27,77,0,0,Morning.
2026-07-15,35,46,0,0,"Afternoon:Gravi danni strutturali alle colture con rami spezzati a causa di un forte maltempo.Grandinate da medie a grosse e raffiche di vento fino a 110-150 km/h. Il sistema entra in una fase di forte stress ambientale avviando la verifica della resilienza biologica."
2026-07-16,26,76,0,0,Morning
2026-07-16,33,53,0,0,Afternoon.
2026-07-17,25,87,0,0,Morning.
2026-07-17,32,66,0,0,Afternoon.
2026-07-18,29,71,0,0,Morning
2026-07-18,32,54,0,0,Afternoon
2026-07-19,25,74,0,0,Morning
2026-07-19,32,53,0,0,Afternoon
2026-07-20,20,85,0,0,Morning
2026-07-20,28,63,0,0,Afternoon
2026-07-21,24,81,0,0,Morning
2026-07-21,27,63,0,0,"Afternoon:Allerta arancione: pioggia vitale per il suolo impatto fisico sulle colture. Test di resilienza senza chimica."
2026-07-22,23,80,0,0,Morning
2026-07-22,29,48,0,0,Afternoon
2026-07-23,23,62,0,0,Morning
2026-07-23,29,42,0,0,Afternoon
2026-07-24,24,69,0,0,Morning
2026-07-24,29,38,0,0,Afternoon
2026-07-25,22,57,0,0,Morning
2026-07-25,31,37,0,0,Afternoon
2026-07-26,20,72,0,0,Morning
2026-07-26,28,58,0,0,Afternoon
2026-07-27,25,68,0,0,Morning
2026-07-27,32,43,0,0,Afternoon
2026-07-28,26,75,0,0,Morning
2026-07-28,32,55,0,0,Afternoon
2026-07-29,27,65,0,0,Morning
2026-07-29,34,43,0,0,Afternoon
2026-07-30,28,64,0,0,Morning
2026-07-30,35,41,0,0,Afternoon
2026-07-31,30,61,0,0,Morning
2026-07-31,37,29,0,0,Afternoon
2026-08-01,29,60,0,0,Morning
2026-08-01,37,38,0,0,Afternoon
2026-08-02,29,62,0,0,Morning
2026-08-02,37,36,0,0,Afternoon
2026-08-03,29,64,0,0,Morning
2026-08-03,37,34,0,0,Afternoon
2026-08-04,29,55,0,0,Morning
2026-08-04,37,36,0,0,Afternoon
2026-08-05,29,51,0,0,Morning
2026-08-05,37,38,0,0,Afternoon
2026-08-06,31,43,0,0,Morning
2026-08-06,38,32,0,0,Afternoon
2026-08-07,30,58,0,0,Morning
2026-08-07,36,37,0,0,Afternoon
2026-08-08,28,69,0,0,Morning
2026-08-08,33,49,0,0,Afternoon
2026-08-09,28,65,0,0,Morning
2026-08-09,35,42,0,0,Afternoon
2026-08-10,28,62,0,0,Morning
2026-08-10,36,37,0,0,Afternoon
2026-08-11,29,61,0,0,Morning
2026-08-11,36,36,0,0,Afternoon
2026-08-12,29,62,0,0,Morning
2026-08-12,35,43,0,0,Afternoon
2026-08-13,28,65,0,0,Morning
2026-08-13,35,39,0,0,Afternoon
2026-08-14,27,60,0,0,Morning
2026-08-14,34,33,0,0,Afternoon
2026-08-15,25,56,0,0,Morning
2026-08-15,35,28,0,0,Afternoon
2026-08-16,25,60,0,0,Morning
2026-08-16,33,45,0,0,Afternoon
2026-08-17,25,67,0,0,Mornng
2026-08-17,32,49,0,0,Afternoon
2026-08-18,26,71,0,0,Morning
2026-08-18,33,44,0,0,Afternoon
2026-08-19,27,60,0,0,Mornng
2026-08-19,35,37,0,0,Afternoon
2026-08-20,30,58,0,0,Morning
2026-08-20,32,52,0,0,Afternoon
2026-08-21,20,91,0,0,"Morning:Una pioggia provvidenziale e abbondante che arriva esattamente a un mese di distanza dalla forte tempesta del 21 luglio."
2026-08-21,22,80,0,0,Afternoon
2026-08-22,23,86,0,0,"Morning:Rinascita dell'orto dopo la pioggia.Produzione continua di pomodori zucchine e cetrioli.Nuova fioritura e fruttificazione.Nessun segno di appassimento."
2026-08-22,29,60,0,0,"Afternoon:Piante ancora verdi e attive. Piante rinvigorite dopo la pioggia."
2026-08-23,23,73,0,0,Morning
2026-08-23,29,61,0,0,Afternoon
2026-08-24,24,73,0,0,Morning
2026-08-24,31,43,0,0,Afternoon
2026-08-25,23,83,0,0,Morning
2026-08-25,29,57,0,0,Afternoon
2026-08-26,25,73,0,0,Morning
2026-08-26,32,48,0,0,Afternoon
2026-08-27,25,61,0,0,Morning
2026-08-27,34,39,0,0,Afternoon
2026-08-28,26,91,0,0,"Morning:Le foglie di zucchina mostrano ora una chiara evidenza di senescenza e disseccamento eppure la pianta continua a crescere e a produrre frutti." 
2026-08-28,35,45,0,0,"Afternoon:Per quanto riguarda i pomodori continuano a fiorire con fiori gialli anche se a questo punto della stagione è improbabile che si sviluppino in frutti rossi maturi."
2026-08-29,27,56,0,0,Morning
2026-08-29,34,30,0,0,Afternoon
2026-08-30,21,51,0,0,Morning
2026-08-30,31,43,0,0,Afternoon
2026-08-31,26,58,0,0,Morning
2026-08-31,34,39,0,0,Afternoon
